field_id,gewas,crop_class,area_ha,ndvi_apr,ndvi_may,ndvi_jun,ndvi_jul,ndvi_aug,ndvi_sep,ndvi_oct,ndwi_apr,ndwi_may,ndwi_jun,ndwi_jul,ndwi_aug,ndwi_sep,ndwi_oct,ndvi_peak,ndvi_peak_month,ndvi_season_mean,ndvi_range,ndwi_peak,ndwi_peak_month,ndwi_season_mean,ndwi_range
539,"Grasland, tijdelijk",Grass,2.296529161562837,0.8189113135219015,0.8651277542244286,0.8010150397442266,0.7375015292146005,0.5405221780808059,0.5721606861871256,0.7669106361732925,-0.7240404461118863,-0.759763563162322,-0.6844642478951593,-0.6394076911416963,-0.537296904508424,-0.5259277112355264,-0.6785727806545313,0.8651277542244286,may,0.7288784481637689,0.3246055761436226,-0.5259277112355264,sep,-0.649924763529935,0.23383585192679557
540,"Aardappelen, consumptie",Potato,9.960145272440851,0.3310230614322156,0.20287439514597486,0.8489790259173063,0.8419109785680584,0.6442735171815073,0.2747636040007647,0.2245685289628163,-0.39146221550181537,-0.2918851258152325,-0.7561280327123129,-0.7469506599822897,-0.5802802661254061,-0.34923519960340227,-0.3269483499840416,0.8489790259173063,jun,0.48119901588694913,0.6461046307713315,-0.2918851258152325,may,-0.4918414071035001,0.46424290689708037
541,"Aardappelen, consumptie",Potato,0.7754719446537952,0.36961782424612244,0.3862219338399344,0.8362310604974071,0.8380765050047317,0.5918542873176241,0.4612827663458618,0.6148290277941134,-0.4380420320187032,-0.43503688922198247,-0.7324326955965837,-0.7395329285399419,-0.5489632581975616,-0.4757624575544973,-0.5439478417461535,0.8380765050047317,jul,0.5854447721493993,0.4684586807586093,-0.43503688922198247,may,-0.5591025861250606,0.30449603931795943
542,"Bieten, suiker-",Sugar beet,3.3373794621427906,0.24270579323121416,0.32067370005285933,0.7794307209207983,0.7632057184506594,0.792602382975406,0.7233598375435846,0.6855387652957707,-0.34614479691558875,-0.37304653289205764,-0.6795217033895727,-0.6556547785199945,-0.6688361797151101,-0.6233957546789068,-0.6184466802325264,0.792602382975406,aug,0.6153595597814704,0.5498965897441919,-0.34614479691558875,apr,-0.5664352037633938,0.333376906473984
543,"Bieten, suiker-",Sugar beet,0.739578501235659,0.3001508428975737,0.3641944384286966,0.8057081441016831,0.7609368353065785,0.7722155851436097,0.7350253184778471,0.6956819736009942,-0.39860922933201787,-0.4152422639346181,-0.705233062979968,-0.643227821747803,-0.6631803728405472,-0.6451717527316884,-0.6343810899772885,0.8057081441016831,jun,0.6334161625652833,0.5055573012041095,-0.39860922933201787,apr,-0.5864350847919901,0.30662383364795015
544,"Bieten, suiker-",Sugar beet,3.1270410592500424,0.2808118120013758,0.33879334535063005,0.8013802687256789,0.7970667832399622,0.7724482264918965,0.6469750763781362,0.7793348328751708,-0.38180941061769874,-0.3927672214145932,-0.7032381789819475,-0.6854653401266706,-0.6791871464248855,-0.5618307388768248,-0.697095597015243,0.8013802687256789,jun,0.63097290643755,0.5205684567243032,-0.38180941061769874,apr,-0.5859133762082661,0.3214287683642488
545,"Aardappelen, consumptie",Potato,2.162796269729627,0.21799014757487273,0.20976155492951093,0.8568266991399887,0.882186969426401,0.6747966074601549,0.2516991869075169,0.2388251802680989,-0.3267485318464959,-0.3027675597304112,-0.768103774264884,-0.7774363680461834,-0.5995160480212858,-0.3620425937024121,-0.3389804235984848,0.882186969426401,jul,0.4760123351009348,0.67242541449689,-0.3027675597304112,may,-0.4965136141728796,0.47466880831577224
546,"Bieten, suiker-",Sugar beet,5.197366670566835,0.2624772358998903,0.35347288284203704,0.7853865838343055,0.837335519539569,0.8018796985414524,0.5365102254071511,0.788278201391664,-0.3899743536176946,-0.414204781688501,-0.7018002605231805,-0.7241146440059162,-0.6819086878235253,-0.4633196569784385,-0.6850580781880701,0.837335519539569,jul,0.6236200496365812,0.5748582836396787,-0.3899743536176946,apr,-0.5800543518321895,0.3341402903882216
547,"Aardappelen, consumptie",Potato,7.805193488665321,0.24042622155551002,0.21796031404007857,0.8295844484717385,0.8727014295391943,0.5188239668125715,0.2322259581362934,0.2683101060926403,-0.34088463854489187,-0.3083705749706544,-0.7438216415453851,-0.7717873326642035,-0.4730203234235287,-0.32225174297539133,-0.3577392758048364,0.8727014295391943,jul,0.4542903492354324,0.6547411154991157,-0.3083705749706544,may,-0.4739822185612702,0.4634167576935491
548,"Grasland, tijdelijk",Grass,1.1245186556623277,0.7194144958055286,0.6607755549297083,0.6748922079358247,0.41941590213038255,0.6975692117510853,0.6517998933999208,0.6895381775711037,-0.658833094500687,-0.6248028091414403,-0.62672757078333,-0.478329066232605,-0.6532910476415013,-0.5723338324016617,-0.6033388142545971,0.7194144958055286,apr,0.6447722062176505,0.2999985936751461,-0.478329066232605,jul,-0.6025223192794033,0.18050402826808204
